Meses,Anos,Agropecuária,Indústria,Serviços,Total,PIB
Janeiro,2003.0,15.786033267836697,15.10308579668993,-12.437263769722328,-4.385007713046463,-5.824072325374974
Fevereiro,2003.0,12.873797141633215,10.981858712579973,-8.985491967846604,-2.9342014386403714,-3.7840542771351737
Março,2003.0,13.726550115765823,0.9247276668528315,-8.170070485815362,-4.9321772114208855,-5.736036700628855
Abril,2003.0,12.331231181170722,-6.348735205933165,-6.971268885822357,-6.276871313555832,-6.975720289181231
Maio,2003.0,6.032059559836123,-2.4739252242909404,-1.531835315910457,-1.6833830036597441,-2.1180524202420226
Junho,2003.0,1.447065457004526,-4.129157252826254,1.3881493366680653,-0.3822314287515227,-0.33539302391950576
Julho,2003.0,1.734470946635902,-6.609182149616943,2.524502393670369,-0.41465558341325925,-0.45763980066413357
Agosto,2003.0,3.6227177106014086,-6.207236165281205,5.375965257257698,1.6351251509095555,2.185248729405709
Setembro,2003.0,1.0379340654319114,-2.2761257057268836,7.004897882498096,3.6655520503581673,4.3965963372748496
Outubro,2003.0,-0.9631560178269494,-4.435242304476006,7.797516833300722,3.4264993659800735,4.202540479349293
Novembro,2003.0,-0.7988694495538629,-7.85609364824148,6.937843162378554,1.8404504117682352,2.374781140363491
Dezembro,2003.0,-2.46830516489297,-1.0223705977130626,8.063767496618702,4.707909646358099,5.926255749317733
Janeiro,2004.0,7.321493939172119,-2.8345490596506373,5.917960734090988,3.0123199324331607,3.8735375848298226
Fevereiro,2004.0,9.31667616809111,0.4576766007980737,6.914407136814282,4.8238695093342,5.554487444832201
Março,2004.0,3.860592320363021,12.495397190714508,8.54106069154954,9.460504242351542,9.99273012496027
Abril,2004.0,3.0421166220264473,11.453761867684765,5.030277442032194,6.7489800156767865,7.432835102208801
Maio,2004.0,4.732429298962448,7.3300640033674425,4.923807022804283,5.682831067790461,5.765236368194748
Junho,2004.0,1.6921912923499427,14.038852327455476,5.503729250111178,7.746225313412691,8.063317605300057
Julho,2004.0,1.728237639927288,13.393993444176711,5.047683441100204,7.312881906547708,7.616374099949863
Agosto,2004.0,-0.05244020733756738,17.005903981197477,3.1856499131859506,6.975679470361484,6.908480825280394
Setembro,2004.0,2.9706966161254345,13.978999018565297,2.2977923590026705,5.959897514475032,5.779551356832258
Outubro,2004.0,5.015721764554426,3.223404415002773,1.8335434299052045,2.606019887701927,1.9071580091812645
Novembro,2004.0,6.300763268469267,10.51989712016239,3.617064832036765,5.896684662915419,5.371172958092774
Dezembro,2004.0,9.698886238754522,11.643148920623258,5.008856155835795,6.713933596737642,6.418158970976173
Janeiro,2005.0,1.3929767063082688,4.757309722750946,4.193511211626633,4.548685630867855,4.638842730730097
Fevereiro,2005.0,2.350808066686083,6.332377288494806,2.440541690243081,3.7942777596687405,3.3687151343724686
Março,2005.0,10.96670677302367,2.3819738943629876,2.975162712735968,3.0330607158033374,2.8221664419661563
Abril,2005.0,4.194923461572153,4.203124133212732,4.969387248731372,4.883336933855675,4.593803108229522
Maio,2005.0,2.5173086155225732,5.559596459290539,3.7370509955521936,4.407347332045708,4.64098714523018
Junho,2005.0,12.41117208281548,5.163016330858028,4.244762920110845,4.710816275850016,4.6143074790057526
Julho,2005.0,2.2051013275883102,2.127980714082689,3.8719281424751006,2.9861534196043316,3.0858613993355988
Agosto,2005.0,1.7819466211180357,2.780254888288236,5.6472474877893974,4.318734755098497,4.540837670148612
Setembro,2005.0,1.658544536115092,-0.5801315577067201,5.433237168827154,3.2298668861419744,3.230283783324972
Outubro,2005.0,-0.7213382499116516,1.295647982333703,4.386713592238789,3.2882636206279514,3.6173775410941245
Novembro,2005.0,-0.4194566232150865,3.810410684963217,4.968636289590811,4.572276800323349,4.89505802268928
Dezembro,2005.0,8.426317932255234,0.40632027871920773,5.365083135172544,3.9772931233438946,4.1999256359595005
Janeiro,2006.0,8.545174461580341,6.224905832159888,4.905198301411384,5.488035819866877,5.580068576459585
Fevereiro,2006.0,-5.339037737431285,3.8016540879111105,4.075108374176484,3.995756302360931,4.428639174060112
Março,2006.0,-4.5261692554245725,1.6765006455983,5.393987110457221,3.970898115782062,4.414784349615086
Abril,2006.0,10.388515854329494,-2.151833399427694,3.314846720602471,1.8396913880923904,2.336113772213788
Maio,2006.0,9.594810988231671,3.5687174055791804,5.824903707545359,5.263347210169855,5.497867338893836
Junho,2006.0,-1.1408628718835523,-0.8973241819925648,3.8100003811454064,2.1434442446369273,2.626455833592267
Julho,2006.0,21.378608636472606,1.517189147795328,4.199175732447391,3.9589042857517187,4.0211660320578435
Agosto,2006.0,15.035950587707369,0.9453549351882806,3.753598879034503,3.2210285870381217,3.493144683952276
Setembro,2006.0,0.5746426391852522,-2.043228631086491,4.603141091699281,2.3312002744448,2.7831405979080737
Outubro,2006.0,-9.923060960770258,4.356955160500298,5.885400499868387,5.073085315174075,5.287497008891151
Novembro,2006.0,-4.491276155863666,-1.0011433002082848,4.7100063285944405,2.772464542584996,3.1070209672131366
Dezembro,2006.0,-3.608435676984001,-2.7187184899425176,4.4679626511734405,2.448484980447363,3.024165555062419
Janeiro,2007.0,-7.627181512239167,1.5413642505523795,5.632839778318188,4.237613701665555,4.576670587731879
Fevereiro,2007.0,-8.694873144328119,1.1786570868278057,6.570482400354072,4.691199238766841,5.05283117912132
Março,2007.0,-12.546150492437725,2.0703135936117167,5.248889211765095,3.853432994355166,4.211928534901177
Abril,2007.0,2.340276325046986,4.953144746781724,7.85235197956391,6.894497697929314,7.0790935189075865
Maio,2007.0,-1.371147032611919,5.948326127710057,8.292681012679548,7.254881580713501,7.367492509438223
Junho,2007.0,-11.1707615306607,6.941590899793226,8.444578799731616,7.393632968028774,7.725252902356994
Julho,2007.0,9.742410687034386,7.628908952610525,7.848698332599846,8.14339076469064,8.180058441722249
Agosto,2007.0,16.332599015547068,8.201277896622372,8.18283368281698,8.760340122114375,8.697030704687258
Setembro,2007.0,14.788962498252234,7.653642273744565,8.712621814733556,8.70428397655212,8.874435432099293
Outubro,2007.0,12.747109293090485,11.646583718236169,8.231726891556335,9.169953457865665,9.480244978631402
Novembro,2007.0,5.200452241438636,7.446720616234037,8.411549247564821,7.900751487616886,8.3244259714224
Dezembro,2007.0,1.5682417665942916,11.524089626381961,8.15710304045485,9.037099776190649,9.20211214836042
Janeiro,2008.0,-0.39258857960539073,8.312983509746408,5.614231552891402,6.176014716817435,6.788247302488193
Fevereiro,2008.0,5.363103016605564,8.974627354062047,7.719377430935737,7.933178184477008,8.276584680612164
Março,2008.0,7.228918248771343,6.795391166299014,7.694691326057046,7.374752779953342,7.565780866863636
Abril,2008.0,3.617130586757855,12.110199960679747,7.260879843589962,8.460512771930361,8.709759850144527
Maio,2008.0,4.794720306998057,3.480478437824308,6.589347798824585,5.618458449328267,6.296246010084516
Junho,2008.0,11.403701675790678,9.894133375913295,6.895478818334833,7.916330326956755,8.459212974782115
Julho,2008.0,1.7198382774016974,10.39058376726658,8.402030378807046,8.761191097805643,9.48537404108416
Agosto,2008.0,-3.2462388519276297,1.652821907528046,5.953960173066619,4.352935359320531,4.96089140419278
Setembro,2008.0,-3.375747251827055,10.960484296151996,8.48648836408703,8.789694257919468,9.387241462399555
Outubro,2008.0,-6.273037868250963,2.982999923106089,5.508124267916381,4.506873152215096,4.538052197860498
Novembro,2008.0,-0.5081707669931435,1.4837737434948428,3.2605084776817117,2.7040164168586234,2.7927851934551606
Dezembro,2008.0,7.585967196694532,-14.04415567459074,1.978491110804459,-1.9880832504039492,-1.9587411688664291
Janeiro,2009.0,6.692563112461447,-14.561782377400846,3.4276092502787403,-1.0213695166468972,-1.8359322273739154
Fevereiro,2009.0,8.08374221614212,-10.909787384162861,2.0425658441505234,-0.977452887086594,-1.5411403909239119
Março,2009.0,17.865571880969245,-10.759373022260089,1.9733981253591493,-1.0829942065336384,-1.5303188045552085
Abril,2009.0,9.724295442391217,-11.228488869871999,1.4976074994327293,-1.6785132393895785,-1.8660730580141283
Maio,2009.0,4.955549253988001,-8.766035831086171,0.35816686374847695,-1.8667039591419465,-2.2270264639985493
Junho,2009.0,10.124170137576272,-11.820897059033541,1.893698985216763,-1.946669054523098,-2.2341002763698214
Julho,2009.0,3.2934837128616,-8.807012532366453,0.9362739636387118,-2.521770014150504,-2.539473379296564
Agosto,2009.0,6.634060880369441,-6.259646157663368,1.5620399802136475,-1.1517936954702268,-1.0458761117005722
Setembro,2009.0,8.324281197262383,-7.941778637820029,-0.27129869734641154,-2.503307926851528,-2.5049175602115614
Outubro,2009.0,10.75302935459035,-4.235356430206439,2.8442102082902654,1.0098694758099214,1.6034528736091902
Novembro,2009.0,9.330465547610679,3.2817822817652553,4.998180720552603,4.755912812403973,5.322745194531309
Dezembro,2009.0,9.790440694208534,16.274711313378344,5.618815080851158,8.288310196510707,9.402744459560664
Janeiro,2010.0,2.652075291930567,19.883106036178887,7.273122124762765,9.891543624584532,10.776743632074348
Fevereiro,2010.0,-1.15078423153403,13.06523672853801,7.10394525842124,8.130553418511877,9.090232854900604
Março,2010.0,-4.291918134637496,21.457264132269692,8.38983922835177,11.30983663148597,12.426235125876484
Abril,2010.0,-2.3249466753446857,13.710500177526175,7.2642197625155,8.535550244232514,9.269048292127668
Maio,2010.0,-2.725970692979862,10.491659631059669,6.6973385121132045,7.340655495149395,7.958695874059019
Junho,2010.0,-9.920530362432633,11.49226657543827,6.295209960624892,7.245907518946693,8.131249704623933
Julho,2010.0,-4.742646513897308,3.60448397384987,6.169016215655687,5.533650529205181,6.230344103677377
Agosto,2010.0,-6.799661809304302,11.288398595671545,7.793612507513803,8.692430593691359,9.506569795889419
Setembro,2010.0,-9.507333047640355,4.650823517118052,5.57637639752806,5.108589580377654,5.6976180985435
Outubro,2010.0,-15.112214861307226,1.7113027948256976,4.881794653571925,3.560899304481624,4.061456266611652
Novembro,2010.0,-11.325834088690234,1.2302518265670859,6.021012550075011,4.28250445228171,4.6570966449823725
Dezembro,2010.0,-11.991172558659535,2.316306272443902,6.805324001932922,5.019342920905512,5.001787004175573
Janeiro,2011.0,15.983405728989887,1.1854589147340722,4.185488010570326,3.600955428646624,4.269795401987131
Fevereiro,2011.0,-2.1026151635722967,9.39769096297065,5.525806505329878,6.634933315397418,7.288042308658271
Março,2011.0,-9.389064456290042,-0.074322428766882,3.1014503474849464,2.012538715056711,2.5148147247824104
Abril,2011.0,-14.72359187951293,-2.3092626796138105,3.6543393592405993,1.7976518964749166,1.9819771699488786
Maio,2011.0,-6.949066646996805,7.4631264366365135,6.105140066223691,6.355010322331633,6.7614217838584345
Junho,2011.0,-3.6782973767574667,0.875005339057644,4.533158621131794,3.3223590570155226,3.293530047822335
Julho,2011.0,-7.054250771850734,7.146747380290552,5.140301488580845,5.006920454688957,5.052772305288666
Agosto,2011.0,-5.882689165124133,2.9212466404675785,2.898973732064114,2.342659979791195,2.261495720654083
Setembro,2011.0,-4.216633578847673,6.055925793303252,4.524586978819345,4.5712552840332155,4.732940530058771
Outubro,2011.0,-2.440327963426314,1.8968101951026828,2.997851170101229,2.554389688242953,2.517694176716412
Novembro,2011.0,0.05910603845122875,2.517963397303946,2.9482843383532575,2.744340168502757,2.8298319894711765
Dezembro,2011.0,4.3468756306723755,5.028461998631251,1.492597826832065,2.6149531852240226,2.858795175999629
Janeiro,2012.0,-18.915234730217158,-3.4652749173942343,2.8488050673932896,1.1528680157402826,1.2207244044971644
Fevereiro,2012.0,-14.900400917443301,-6.84198837158524,2.7296915625819373,0.03846768496384989,0.1729067778921456
Março,2012.0,-4.13806861161532,-1.1064755432202311,4.160043558478632,2.55460653622801,2.778991898073513
Abril,2012.0,-4.42100749090335,-2.4249441914647285,2.1731140126250548,1.0016584591198363,1.3341013089716025
Maio,2012.0,0.19312671551561245,-4.16143749609753,1.17263853545313,-0.36890358502061904,-0.16215376174060214
Junho,2012.0,5.487476944503067,-3.958122855755186,1.5155468937423588,0.25055514933827183,0.6724173381426723
Julho,2012.0,7.5943549666289245,-2.6299561856636955,1.747250847401327,0.7666462292109877,1.0731223782062482
Agosto,2012.0,3.750103380548464,2.3721236328694717,4.004314523657815,3.415103459668045,3.9420694277247925
Setembro,2012.0,-0.87720952704744,-4.430641556875948,0.4088068339078266,-0.9839722783883786,-0.6711524896011345
Outubro,2012.0,-11.593718696457856,4.88664337271596,3.589255471547914,3.598670938413484,4.1939016506589155
Novembro,2012.0,-9.408853264434358,-1.1475848169578917,2.435961855405422,1.331142843106048,1.65634267336352
Dezembro,2012.0,-1.1382935786333204,-3.8866397838370093,2.2444515432628487,1.1153686885338132,1.3425728465858766
Janeiro,2013.0,10.720173326056548,4.013493600729712,2.2461857270233754,2.820945259406793,3.48087571936444
Fevereiro,2013.0,12.596712994843372,0.5043131281640578,0.24399813818376526,0.4837459171330716,0.6681943536152035
Março,2013.0,14.97790576585054,-1.6991107359110247,0.6298345892840729,0.30403442373863054,0.5945676487950191
Abril,2013.0,22.48676815827537,13.492491804080874,4.190367043802956,6.652345342621313,6.774706265107278
Maio,2013.0,6.0435895177838095,5.259386304552605,2.2708878800913768,3.114134265963653,3.32002278532324
Junho,2013.0,-3.212816939825758,9.2867666711685,2.0578847322868077,3.594434980439898,3.6253016333433363
Julho,2013.0,0.8513010667826393,4.468091994445644,2.4205025406339953,2.664779252470706,2.8074115365802843
Agosto,2013.0,1.3794358062150458,2.3755215654884587,2.5493011378940444,2.3214830964043864,2.4294464883386713
Setembro,2013.0,0.27040901710237986,9.339192871617108,3.3716679895419377,4.735677432705643,4.556645674977733
Outubro,2013.0,-6.580047590292059,3.6349579550607247,3.059678624299633,3.1820649403897283,3.0165679188503436
Novembro,2013.0,6.46809483382742,1.8527304031617176,2.095756732795362,2.147487964942374,2.347859132340746
Dezembro,2013.0,14.924985089824382,-3.296658340498926,0.825062400569343,0.12839602140644057,0.04510327901643407
Janeiro,2014.0,-5.0106549046484705,2.0536861112045557,3.2576778146968355,3.0797412543323244,2.539851612058741
Fevereiro,2014.0,-2.202065086664784,4.878522777906236,3.4862860801968543,3.8837415593785396,3.7748316402318016
Março,2014.0,9.461324517644742,-1.4352602186123553,4.901916960640307,3.643128542200502,3.4198856437856584
Abril,2014.0,-13.37622009581173,-6.661634179726683,-1.5509394423147693,-2.930218381068561,-2.890169133353382
Maio,2014.0,-4.40214251829244,-1.875486005618754,-0.17000896634776774,-0.6968851939822884,-0.7181611009762889
Junho,2014.0,14.887386195277298,-6.13721862295642,-1.88294879504598,-2.589664062024988,-2.8816917243559503
Julho,2014.0,-8.373403583606741,-3.9011344554646277,-2.13035473887927,-2.8854910121619004,-3.0532252888850864
Agosto,2014.0,-9.87703657010498,-6.273934251640389,-3.561979916178004,-4.6011945194740385,-4.7184413571275785
Setembro,2014.0,-6.669347421846583,-5.604965510180171,-2.381876078150469,-3.4566962376861965,-3.39337245023118
Outubro,2014.0,-13.535888548360653,-3.356525343147798,-2.6715152645197526,-3.110703019704142,-3.0022220058303573
